exchange,symbol,funding,next_funding,short_ma,long_ma,positive_ratio,volatility,timestamp
okx,ASTER/USDT:USDT,-0.0001914497192086,2026-03-24T12:00:00.000Z,-2.7808010996699996e-05,2.5585801880444426e-06,0.6083333333333333,5.9077670245601414e-05,
okx,AT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,5.4050698277218896e-05,1.0,2.3136053635445776e-05,
okx,ATH/USDT:USDT,-0.0001173468184,2026-03-24T09:00:00.000Z,-5.240965094238097e-07,-0.00010983784376525446,0.4166666666666667,0.0001969137385601063,
okx,AVNT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-6.277526177408572e-05,-0.0001446247890698067,0.55,0.00041676394385622994,
okx,AVAX/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-3.5819847804314285e-05,5.087974375384446e-06,0.6333333333333333,9.667131840150999e-05,
okx,BARD/USDT:USDT,-3.51657057324e-05,2026-03-24T09:00:00.000Z,-0.002208354700433853,-0.002738955255773479,0.0,0.002530287753051119,
okx,AZTEC/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,3.722920527390953e-05,-1.888086201110445e-05,0.6083333333333333,0.00032429503285437,
okx,BABY/USDT:USDT,1.25e-05,2026-03-24T09:00:00.000Z,1.1523704873333457e-07,-1.1900359509034443e-05,0.8583333333333333,5.586900713580314e-05,
okx,BAND/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,9.334751170953809e-05,6.384557624696113e-05,0.875,0.00011164128954847757,
okx,AXS/USDT:USDT,-0.0006155523202067,2026-03-24T12:00:00.000Z,-0.0006166754213449095,-0.0006236936225073833,0.03333333333333333,0.0005544917281315447,
okx,BEAT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,0.00023033816932762374,0.00010322372742450667,0.9833333333333333,0.00018983964577094355,
